index,fold,split
0,0,train
2,0,train
4,0,train
5,0,train
6,0,train
7,0,train
8,0,train
9,0,train
11,0,train
12,0,train
13,0,train
14,0,train
15,0,train
17,0,train
18,0,train
19,0,train
24,0,train
25,0,train
26,0,train
27,0,train
28,0,train
30,0,train
31,0,train
32,0,train
33,0,train
35,0,train
36,0,train
37,0,train
38,0,train
41,0,train
42,0,train
43,0,train
44,0,train
45,0,train
46,0,train
49,0,train
50,0,train
51,0,train
52,0,train
55,0,train
56,0,train
57,0,train
58,0,train
60,0,train
62,0,train
63,0,train
64,0,train
65,0,train
66,0,train
67,0,train
68,0,train
69,0,train
70,0,train
71,0,train
72,0,train
73,0,train
74,0,train
75,0,train
76,0,train
78,0,train
80,0,train
82,0,train
83,0,train
84,0,train
85,0,train
86,0,train
87,0,train
88,0,train
89,0,train
91,0,train
92,0,train
93,0,train
94,0,train
95,0,train
96,0,train
97,0,train
98,0,train
99,0,train
101,0,train
102,0,train
103,0,train
104,0,train
105,0,train
106,0,train
107,0,train
109,0,train
111,0,train
112,0,train
113,0,train
117,0,train
118,0,train
119,0,train
120,0,train
121,0,train
122,0,train
123,0,train
124,0,train
125,0,train
126,0,train
128,0,train
129,0,train
130,0,train
131,0,train
132,0,train
134,0,train
135,0,train
136,0,train
138,0,train
139,0,train
142,0,train
145,0,train
146,0,train
147,0,train
148,0,train
149,0,train
150,0,train
151,0,train
152,0,train
153,0,train
155,0,train
156,0,train
157,0,train
159,0,train
162,0,train
164,0,train
165,0,train
166,0,train
167,0,train
168,0,train
169,0,train
170,0,train
172,0,train
173,0,train
174,0,train
175,0,train
176,0,train
177,0,train
180,0,train
181,0,train
182,0,train
183,0,train
184,0,train
186,0,train
187,0,train
188,0,train
190,0,train
191,0,train
192,0,train
193,0,train
194,0,train
195,0,train
196,0,train
201,0,train
202,0,train
204,0,train
205,0,train
207,0,train
209,0,train
211,0,train
212,0,train
213,0,train
214,0,train
215,0,train
216,0,train
217,0,train
218,0,train
219,0,train
220,0,train
222,0,train
223,0,train
224,0,train
225,0,train
226,0,train
228,0,train
231,0,train
233,0,train
234,0,train
235,0,train
236,0,train
237,0,train
238,0,train
239,0,train
240,0,train
241,0,train
242,0,train
243,0,train
244,0,train
245,0,train
246,0,train
247,0,train
248,0,train
249,0,train
250,0,train
252,0,train
253,0,train
254,0,train
255,0,train
256,0,train
257,0,train
258,0,train
259,0,train
261,0,train
262,0,train
263,0,train
264,0,train
265,0,train
266,0,train
267,0,train
268,0,train
269,0,train
270,0,train
271,0,train
272,0,train
274,0,train
275,0,train
277,0,train
278,0,train
279,0,train
281,0,train
283,0,train
285,0,train
286,0,train
287,0,train
288,0,train
289,0,train
290,0,train
291,0,train
292,0,train
295,0,train
296,0,train
297,0,train
298,0,train
299,0,train
300,0,train
301,0,train
303,0,train
304,0,train
305,0,train
306,0,train
307,0,train
308,0,train
309,0,train
310,0,train
312,0,train
313,0,train
314,0,train
315,0,train
316,0,train
317,0,train
319,0,train
321,0,train
322,0,train
323,0,train
324,0,train
325,0,train
326,0,train
327,0,train
328,0,train
330,0,train
331,0,train
332,0,train
336,0,train
337,0,train
339,0,train
341,0,train
342,0,train
343,0,train
344,0,train
345,0,train
346,0,train
347,0,train
349,0,train
350,0,train
351,0,train
353,0,train
355,0,train
357,0,train
360,0,train
361,0,train
362,0,train
363,0,train
364,0,train
365,0,train
366,0,train
367,0,train
370,0,train
371,0,train
372,0,train
373,0,train
374,0,train
375,0,train
376,0,train
377,0,train
378,0,train
379,0,train
380,0,train
381,0,train
382,0,train
383,0,train
384,0,train
386,0,train
387,0,train
388,0,train
389,0,train
390,0,train
391,0,train
392,0,train
395,0,train
397,0,train
398,0,train
400,0,train
401,0,train
402,0,train
403,0,train
404,0,train
405,0,train
406,0,train
407,0,train
408,0,train
409,0,train
410,0,train
412,0,train
414,0,train
415,0,train
416,0,train
417,0,train
418,0,train
420,0,train
421,0,train
422,0,train
423,0,train
424,0,train
425,0,train
426,0,train
427,0,train
428,0,train
431,0,train
432,0,train
433,0,train
434,0,train
435,0,train
436,0,train
438,0,train
439,0,train
440,0,train
441,0,train
442,0,train
443,0,train
444,0,train
447,0,train
448,0,train
451,0,train
452,0,train
455,0,train
456,0,train
457,0,train
458,0,train
459,0,train
461,0,train
462,0,train
463,0,train
464,0,train
465,0,train
466,0,train
468,0,train
469,0,train
470,0,train
472,0,train
474,0,train
475,0,train
478,0,train
481,0,train
482,0,train
484,0,train
485,0,train
486,0,train
487,0,train
488,0,train
490,0,train
491,0,train
494,0,train
496,0,train
498,0,train
500,0,train
501,0,train
502,0,train
503,0,train
504,0,train
505,0,train
506,0,train
507,0,train
508,0,train
509,0,train
510,0,train
511,0,train
512,0,train
513,0,train
516,0,train
519,0,train
520,0,train
521,0,train
522,0,train
523,0,train
524,0,train
525,0,train
526,0,train
527,0,train
528,0,train
529,0,train
530,0,train
531,0,train
532,0,train
533,0,train
534,0,train
535,0,train
536,0,train
537,0,train
538,0,train
539,0,train
540,0,train
541,0,train
542,0,train
543,0,train
545,0,train
547,0,train
548,0,train
549,0,train
551,0,train
552,0,train
553,0,train
554,0,train
555,0,train
556,0,train
557,0,train
558,0,train
560,0,train
561,0,train
562,0,train
563,0,train
564,0,train
565,0,train
566,0,train
567,0,train
568,0,train
569,0,train
570,0,train
571,0,train
572,0,train
573,0,train
574,0,train
575,0,train
576,0,train
577,0,train
578,0,train
579,0,train
580,0,train
581,0,train
582,0,train
583,0,train
584,0,train
585,0,train
587,0,train
588,0,train
589,0,train
590,0,train
592,0,train
593,0,train
595,0,train
596,0,train
597,0,train
598,0,train
599,0,train
600,0,train
601,0,train
602,0,train
604,0,train
605,0,train
606,0,train
607,0,train
608,0,train
609,0,train
610,0,train
611,0,train
612,0,train
613,0,train
614,0,train
615,0,train
616,0,train
617,0,train
618,0,train
619,0,train
620,0,train
621,0,train
622,0,train
623,0,train
624,0,train
625,0,train
626,0,train
627,0,train
628,0,train
629,0,train
630,0,train
631,0,train
632,0,train
634,0,train
636,0,train
637,0,train
638,0,train
639,0,train
640,0,train
641,0,train
642,0,train
644,0,train
645,0,train
646,0,train
648,0,train
649,0,train
652,0,train
653,0,train
654,0,train
655,0,train
657,0,train
659,0,train
660,0,train
661,0,train
663,0,train
664,0,train
666,0,train
667,0,train
668,0,train
669,0,train
670,0,train
672,0,train
673,0,train
676,0,train
677,0,train
678,0,train
679,0,train
680,0,train
681,0,train
682,0,train
683,0,train
684,0,train
685,0,train
686,0,train
687,0,train
688,0,train
689,0,train
691,0,train
692,0,train
693,0,train
694,0,train
695,0,train
696,0,train
697,0,train
698,0,train
700,0,train
702,0,train
703,0,train
704,0,train
705,0,train
706,0,train
707,0,train
708,0,train
710,0,train
711,0,train
712,0,train
713,0,train
714,0,train
715,0,train
716,0,train
717,0,train
718,0,train
720,0,train
721,0,train
723,0,train
724,0,train
725,0,train
727,0,train
728,0,train
729,0,train
730,0,train
731,0,train
732,0,train
733,0,train
734,0,train
735,0,train
736,0,train
737,0,train
738,0,train
739,0,train
741,0,train
742,0,train
743,0,train
744,0,train
745,0,train
747,0,train
748,0,train
749,0,train
750,0,train
751,0,train
752,0,train
753,0,train
754,0,train
755,0,train
756,0,train
757,0,train
759,0,train
760,0,train
762,0,train
763,0,train
1,0,test
3,0,test
